year,ice,ev
2022,2483.38,45.48
2023,2452.60,76.26
2024,2415.65,113.21
2025,2369.92,158.94
2026,2312.19,216.67
2027,2239.12,289.74
2028,2148.73,380.13
2029,2043.01,485.85
2030,1929.35,599.50
2031,1817.76,711.10
